Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1781349425,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349426,1,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349427,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349428,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349429,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349430,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349431,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349432,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349433,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349434,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349435,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349436,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1781349437,2,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,10433.824375002587,10433.824375002587,10433.824375002587,10433.824375002587,14.0
1781349438,2,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,10433.824375002587,10433.824375002587,10433.824375002587,10433.824375002587,14.0
1781349439,2,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,10433.824375002587,10433.824375002587,10433.824375002587,10433.824375002587,14.0
1781349440,2,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,10433.824375002587,10433.824375002587,10433.824375002587,10433.824375002587,14.0
1781349441,2,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,10433.824375002587,10433.824375002587,10433.824375002587,10433.824375002587,14.0
1781349442,2,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,10433.824375002587,10433.824375002587,10433.824375002587,10433.824375002587,14.0
1781349443,2,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,10433.824375002587,10433.824375002587,10433.824375002587,10433.824375002587,14.0
1781349444,2,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,10433.824375002587,10433.824375002587,10433.824375002587,10433.824375002587,14.0
1781349445,2,,Aggregated,0.000000,0.000000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,1,1,10433.824375002587,10433.824375002587,10433.824375002587,10433.824375002587,14.0
1781349446,2,,Aggregated,0.100000,0.100000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,2,1,10433.824375002587,15485.173542001576,10433.824375002587,20536.522709000565,16.0
1781349447,2,,Aggregated,0.100000,0.100000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,2,1,10433.824375002587,15485.173542001576,10433.824375002587,20536.522709000565,16.0
1781349448,2,,Aggregated,0.100000,0.100000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,21000,2,1,10433.824375002587,15485.173542001576,10433.824375002587,20536.522709000565,16.0
